"disciplina","programa","Creation Date","Modified Date","Slug","Creator"
"Contabilidade Gerencial II","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Controle Gerencial e Performance Management","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Contabilidade e Finanças Públicas","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Contabilidade Financeira Avançada","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Contabilidade Gerencial I","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Contabilidade, Finanças e ESG","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Ética Profissional","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Estatística II","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Direito Tributário","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Estratégia Financeira","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Direito Empresarial","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Fundamentos de Matemática para Gestão","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Desafio Digital em Finanças e Controladoria II","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Estatística I","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Estratégia Empresarial","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Formação em Soft Skills","AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
